"Screen_Tech","Avg_mode_power","Star Rating Index","Screen Size (in inches)"
"LCD",44.2,6.04961468920546,42.51102362204724
"LCD",44.6,6.04803737891574,42.50236220472441
"LCD",45.012,5.479867364841652,42.572834645669296
"LCD",46.6,5.667604564713657,41.598031496062994
"LCD",46.8,5.016571587863471,39.49015748031496
"LCD",47.23,5.337279013508535,39.502362204724406
"LCD",49.8,5.0439570038645645,39.5011811023622
"LCD",49.98,4.636007606228578,42.44645669291338
"LCD",50.5,5.118073049588307,39.681496062992125
"LCD",51.49,5.580525627381117,42.514566929133856
"LCD",53.26,5.468284088523051,42.519291338582676
"LCD",53.8,6.056850653631297,49.463779527559055
"LCD",54.04,5.388613081049771,42.46574803149606
"LCD",54.6,6.16337591126587,49.5003937007874
"LCD",54.82,6.523778740910417,49.5003937007874
"LCD",55,6.501756976116015,49.5003937007874
"LCD",55.635,5.255491804459134,42.46574803149606
"LCD",56.7,6.0624515145983064,49.4988188976378
"LCD",57.474,5.109199295997805,42.5
"LCD",57.6,4.506395613917393,41.494488188976376
"LCD",57.79,4.670531682207281,42.514566929133856
"LCD",59.24,4.9399410860390915,42.51496062992126
"LCD",59.7,6.1612671006942135,49.49803149606299
"LCD",60.73,5.489942004042138,49.249212598425196
"LCD",62.5,6.02167727117258,54.63897637795275
"LCD",65,4.553267260591147,42.5
"LCD",66.49,5.087619010444134,45.98779527559055
"LCD",66.62,5.660674594560302,49.49803149606299
"LCD",68.5,6.02167727117258,54.63897637795275
"LCD",68.98,6.316416078038494,54.492913385826775
"LCD",69.15,5.891771940265505,54.63897637795275
"LCD",69.6,6.292298502011051,54.64488188976378
"LCD",69.64,6.293361671010194,54.63897637795275
"LCD",70.2,3.955295133705826,41.50196850393701
"LCD",71.99,5.295678364518265,49.5003937007874
"LCD",72.4,5.15546094080525,54.63897637795275
"LCD",73,4.04530322613127,42.485039370078745
"LCD",74.1,5.163161822916445,49.4988188976378
"LCD",74.9,6.41491902321079,57.49566929133858
"LCD",75.2,6.066493718730974,57.534645669291336
"LCD",75.58,5.952001359469709,54.85511811023622
"LCD",76.044,4.506588374804526,54.572047244094485
"LCD",77.2,5.673122717009529,54.63897637795275
"LCD",80.7,6.414531262205091,60.01732283464566
"LCD",81.288,6.3902899068173715,60.10354330708662
"LCD",82.242,5.567672672535419,54.63897637795275
"LCD",83,4.5775213770665735,49.463779527559055
"LCD",83,5.504033537069173,54.61062992125985
"LCD",83.5,4.64079022183769,49.65866141732283
"LCD",84.4,4.005266563232905,49.35629921259842
"LCD",85.3,6.085122727853401,60.10944881889763
"LCD",85.767,4.554792152697652,49.5003937007874
"LCD",85.97,6.142473468159193,60.10354330708662
"LCD",87,5.2888840563711685,54.61062992125985
"LCD",87.96,4.903531155172063,54.64488188976378
"LCD",90.1,5.634761250243758,64.4996062992126
"LCD",90.6,5.495506590465612,57.49094488188976
"LCD",92.076,6.4118221171542435,64.5259842519685
"LCD",92.1,5.034877339973175,54.63897637795275
"LCD",92.2,6.0310290169034175,64.48464566929134
"LCD",93,6.012924571152087,64.44173228346456
"LCD",93.324,4.522165303383788,54.64488188976378
"LCD",93.53,6.346398763733665,64.5259842519685
"LCD",94.65,4.014220466297351,64.4996062992126
"LCD",94.65,6.152760171397917,64.2251968503937
"LCD",94.8,4.887294325626479,54.61062992125985
"LCD",94.96,4.903531155172063,54.64488188976378
"LCD",95.7,6.194622482710446,69.50590551181102
"LCD",96.1,6.1556252552474255,64.52637795275591
"LCD",96.3,6.033987822258522,64.51889763779526
"LCD",96.3,6.156774136390153,64.51889763779526
"LCD",96.56,3.759398017402434,49.49803149606299
"LCD",96.612,3.7556918786576565,49.463779527559055
"LCD",96.72,6.033054772910929,64.60669291338583
"LCD",97.36,4.789429429855246,54.64488188976378
"LCD",97.8,6.03164379048884,69.50590551181102
"LCD",98.15,6.057174536739563,64.5259842519685
"LCD",98.3,5.1487481108432895,57.50708661417323
"LCD",99.75,6.194424149067254,69.51574803149606
"LCD",100.2,4.292298502011051,54.64488188976378
"LCD",100.2,6.642364202133211,69.5244094488189
